clk_s_T(s),gbf_T(s),q_str_d,Alarm_Detector,q_str_atm,Alarm_ATM
5.000000e-06,1.250000e-07,19,'0',199,'0'
5.000000e-06,1.500000e-07,16,'0',166,'1'
5.000000e-06,1.750000e-07,13,'1',142,'1'
5.000000e-06,2.000000e-07,11,'1',124,'1'
5.000000e-06,2.250000e-07,10,'1',110,'1'
5.000000e-06,2.500000e-07,9,'1',99,'1'
5.000000e-06,2.750000e-07,8,'1',90,'1'
5.000000e-06,3.000000e-07,7,'1',82,'1'
5.000000e-06,3.250000e-07,7,'1',76,'1'
5.000000e-06,3.500000e-07,6,'1',71,'1'
5.000000e-06,3.750000e-07,6,'1',66,'1'
6.000000e-06,1.250000e-07,23,'1',239,'1'
6.000000e-06,1.500000e-07,19,'0',199,'0'
6.000000e-06,1.750000e-07,16,'0',170,'1'
6.000000e-06,2.000000e-07,14,'0',149,'1'
6.000000e-06,2.250000e-07,12,'1',133,'1'
6.000000e-06,2.500000e-07,11,'1',119,'1'
6.000000e-06,2.750000e-07,10,'1',108,'1'
6.000000e-06,3.000000e-07,9,'1',99,'1'
6.000000e-06,3.250000e-07,9,'1',91,'1'
6.000000e-06,3.500000e-07,7,'1',85,'1'
6.000000e-06,3.750000e-07,7,'1',79,'1'
7.000000e-06,1.250000e-07,27,'1',279,'1'
7.000000e-06,1.500000e-07,22,'0',233,'1'
7.000000e-06,1.750000e-07,19,'0',199,'0'
7.000000e-06,2.000000e-07,17,'0',174,'1'
7.000000e-06,2.250000e-07,14,'0',155,'1'
7.000000e-06,2.500000e-07,13,'1',139,'1'
7.000000e-06,2.750000e-07,12,'1',127,'1'
7.000000e-06,3.000000e-07,10,'1',116,'1'
7.000000e-06,3.250000e-07,10,'1',107,'1'
7.000000e-06,3.500000e-07,9,'1',99,'1'
7.000000e-06,3.750000e-07,8,'1',93,'1'
8.000000e-06,1.250000e-07,31,'1',319,'1'
8.000000e-06,1.500000e-07,26,'1',265,'1'
8.000000e-06,1.750000e-07,22,'0',228,'1'
8.000000e-06,2.000000e-07,19,'0',199,'0'
8.000000e-06,2.250000e-07,17,'0',177,'1'
8.000000e-06,2.500000e-07,15,'0',159,'1'
8.000000e-06,2.750000e-07,14,'1',144,'1'
8.000000e-06,3.000000e-07,13,'1',132,'1'
8.000000e-06,3.250000e-07,12,'1',122,'1'
8.000000e-06,3.500000e-07,10,'1',114,'1'
8.000000e-06,3.750000e-07,9,'1',106,'1'
9.000000e-06,1.250000e-07,35,'1',359,'1'
9.000000e-06,1.500000e-07,29,'1',299,'1'
9.000000e-06,1.750000e-07,24,'1',256,'1'
9.000000e-06,2.000000e-07,21,'0',224,'1'
9.000000e-06,2.250000e-07,19,'0',199,'0'
9.000000e-06,2.500000e-07,17,'0',179,'1'
9.000000e-06,2.750000e-07,15,'0',163,'1'
9.000000e-06,3.000000e-07,14,'0',149,'1'
9.000000e-06,3.250000e-07,13,'1',137,'1'
9.000000e-06,3.500000e-07,12,'1',128,'1'
9.000000e-06,3.750000e-07,11,'1',119,'1'
1.000000e-05,1.250000e-07,39,'1',399,'1'
1.000000e-05,1.500000e-07,32,'1',333,'1'
1.000000e-05,1.750000e-07,27,'1',284,'1'
1.000000e-05,2.000000e-07,24,'0',249,'1'
1.000000e-05,2.250000e-07,21,'0',221,'1'
1.000000e-05,2.500000e-07,19,'0',199,'0'
1.000000e-05,2.750000e-07,17,'0',181,'0'
1.000000e-05,3.000000e-07,16,'0',166,'1'
1.000000e-05,3.250000e-07,14,'0',153,'1'
1.000000e-05,3.500000e-07,13,'1',142,'1'
1.000000e-05,3.750000e-07,13,'1',132,'1'
1.100000e-05,1.250000e-07,43,'1',439,'1'
1.100000e-05,1.500000e-07,36,'1',365,'1'
1.100000e-05,1.750000e-07,31,'1',313,'1'
1.100000e-05,2.000000e-07,27,'1',274,'1'
1.100000e-05,2.250000e-07,24,'0',243,'1'
1.100000e-05,2.500000e-07,21,'0',219,'0'
1.100000e-05,2.750000e-07,19,'0',199,'0'
1.100000e-05,3.000000e-07,17,'0',182,'0'
1.100000e-05,3.250000e-07,16,'0',168,'1'
1.100000e-05,3.500000e-07,14,'0',156,'1'
1.100000e-05,3.750000e-07,13,'1',146,'1'
1.200000e-05,1.250000e-07,47,'1',479,'1'
1.200000e-05,1.500000e-07,39,'1',399,'1'
1.200000e-05,1.750000e-07,33,'1',342,'1'
1.200000e-05,2.000000e-07,29,'1',299,'1'
1.200000e-05,2.250000e-07,26,'0',265,'1'
1.200000e-05,2.500000e-07,23,'0',239,'1'
1.200000e-05,2.750000e-07,21,'0',217,'0'
1.200000e-05,3.000000e-07,19,'0',199,'0'
1.200000e-05,3.250000e-07,18,'0',183,'0'
1.200000e-05,3.500000e-07,16,'0',170,'1'
1.200000e-05,3.750000e-07,15,'0',159,'1'
1.300000e-05,1.250000e-07,51,'1',519,'1'
1.300000e-05,1.500000e-07,43,'1',432,'1'
1.300000e-05,1.750000e-07,36,'1',370,'1'
1.300000e-05,2.000000e-07,31,'1',324,'1'
1.300000e-05,2.250000e-07,28,'1',288,'1'
1.300000e-05,2.500000e-07,25,'1',259,'1'
1.300000e-05,2.750000e-07,23,'0',235,'1'
1.300000e-05,3.000000e-07,21,'0',216,'0'
1.300000e-05,3.250000e-07,19,'0',199,'0'
1.300000e-05,3.500000e-07,18,'0',184,'0'
1.300000e-05,3.750000e-07,17,'0',172,'1'
1.400000e-05,1.250000e-07,55,'1',559,'1'
1.400000e-05,1.500000e-07,45,'1',466,'1'
1.400000e-05,1.750000e-07,39,'1',399,'1'
1.400000e-05,2.000000e-07,34,'1',349,'1'
1.400000e-05,2.250000e-07,30,'1',310,'1'
1.400000e-05,2.500000e-07,27,'1',279,'1'
1.400000e-05,2.750000e-07,25,'0',253,'1'
1.400000e-05,3.000000e-07,22,'0',232,'1'
1.400000e-05,3.250000e-07,20,'0',215,'0'
1.400000e-05,3.500000e-07,19,'0',199,'0'
1.400000e-05,3.750000e-07,18,'0',185,'0'
1.500000e-05,1.250000e-07,59,'1',599,'1'
1.500000e-05,1.500000e-07,49,'1',499,'1'
